sample_id,source_id,active_layer,slot_index,declared_source_area_m2,package_power_fraction,source_power_W,surface_power_density_W_m2,surface_power_density_W_cm2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,group_id,split_role
p1f_g048_t1_b1_p1,src_00,silicon_die_lower,6,5.115093997071924e-06,0.5,3.0,586499.4859756859,58.64994859756859,6.069946289062488e-10,4942383107.089,663,13,17,3,12,16,p1f_g048,train
p1f_g048_t1_b1_p1,src_01,silicon_die_upper,6,5.31768515262475e-06,0.22850639127890707,1.3710383476734425,257826.16088068194,25.782616088068195,7.418823242187503e-10,1848053664.1942964,884,13,17,4,12,16,p1f_g048,train
p1f_g048_t1_b1_p1,src_02,silicon_die_upper,3,5.977093348627231e-06,0.27149360872109296,1.6289616523265578,272534.08259060973,27.253408259060972,8.459472656250004e-10,1925606617.0070932,1008,14,18,4,13,17,p1f_g048,train
p1f_g049_t0_b0_p0,src_00,silicon_die_lower,5,4.493359512166999e-06,0.20793450861211216,0.8317380344484486,185103.82536636354,18.510382536636353,4.61425781249999e-10,1802539147.672409,504,12,14,3,11,13,p1f_g049,train
p1f_g049_t0_b0_p0,src_01,silicon_die_lower,6,4.596618738045485e-06,0.22959212583037475,0.918368503321499,199792.1854428144,19.97921854428144,4.998779296874989e-10,1837185538.2685556,546,13,14,3,12,13,p1f_g049,train
p1f_g049_t0_b0_p0,src_02,silicon_die_upper,5,4.306974042182361e-06,0.28919004930484027,1.156760197219361,268578.400029833,26.857840002983302,5.908203125000002e-10,1957888333.8059921,704,11,16,4,10,15,p1f_g049,train
p1f_g049_t0_b0_p0,src_03,silicon_die_upper,6,4.447528930011134e-06,0.2732833162526729,1.0931332650106915,245784.40797415003,24.578440797415002,6.109619140625003e-10,1789200341.0524638,728,13,14,4,12,13,p1f_g049,train
p1f_g049_t0_b0_p1,src_00,silicon_die_lower,5,4.493359512166999e-06,0.20793450861211216,1.247607051672673,277655.7380495453,27.76557380495453,4.61425781249999e-10,2703808721.5086136,504,12,14,3,11,13,p1f_g049,train
p1f_g049_t0_b0_p1,src_01,silicon_die_lower,6,4.596618738045485e-06,0.22959212583037475,1.3775527549822484,299688.27816422156,29.968827816422156,4.998779296874989e-10,2755778307.4028335,546,13,14,3,12,13,p1f_g049,train
p1f_g049_t0_b0_p1,src_02,silicon_die_upper,5,4.306974042182361e-06,0.28919004930484027,1.7351402958290416,402867.6000447495,40.28676000447495,5.908203125000002e-10,2936832500.708988,704,11,16,4,10,15,p1f_g049,train
p1f_g049_t0_b0_p1,src_03,silicon_die_upper,6,4.447528930011134e-06,0.2732833162526729,1.6396998975160373,368676.61196122505,36.867661196122505,6.109619140625003e-10,2683800511.578696,728,13,14,4,12,13,p1f_g049,train
p1f_g049_t0_b1_p0,src_00,silicon_die_lower,5,4.493359512166999e-06,0.20793450861211216,0.8317380344484486,185103.82536636354,18.510382536636353,4.61425781249999e-10,1802539147.672409,504,12,14,3,11,13,p1f_g049,train
p1f_g049_t0_b1_p0,src_01,silicon_die_lower,6,4.596618738045485e-06,0.22959212583037475,0.918368503321499,199792.1854428144,19.97921854428144,4.998779296874989e-10,1837185538.2685556,546,13,14,3,12,13,p1f_g049,train
p1f_g049_t0_b1_p0,src_02,silicon_die_upper,5,4.306974042182361e-06,0.28919004930484027,1.156760197219361,268578.400029833,26.857840002983302,5.908203125000002e-10,1957888333.8059921,704,11,16,4,10,15,p1f_g049,train
p1f_g049_t0_b1_p0,src_03,silicon_die_upper,6,4.447528930011134e-06,0.2732833162526729,1.0931332650106915,245784.40797415003,24.578440797415002,6.109619140625003e-10,1789200341.0524638,728,13,14,4,12,13,p1f_g049,train
p1f_g049_t0_b1_p1,src_00,silicon_die_lower,5,4.493359512166999e-06,0.20793450861211216,1.247607051672673,277655.7380495453,27.76557380495453,4.61425781249999e-10,2703808721.5086136,504,12,14,3,11,13,p1f_g049,train
p1f_g049_t0_b1_p1,src_01,silicon_die_lower,6,4.596618738045485e-06,0.22959212583037475,1.3775527549822484,299688.27816422156,29.968827816422156,4.998779296874989e-10,2755778307.4028335,546,13,14,3,12,13,p1f_g049,train
p1f_g049_t0_b1_p1,src_02,silicon_die_upper,5,4.306974042182361e-06,0.28919004930484027,1.7351402958290416,402867.6000447495,40.28676000447495,5.908203125000002e-10,2936832500.708988,704,11,16,4,10,15,p1f_g049,train
